treat,age,educ,black,hisp,married,nodegree,re74,re75,re78,pool,u74,u75,employed78,age2,age3,educ2,re74_2,re75_2,educ_re74
1.0,37.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,9930.046,cps,1,1,1,1369.0,50653.0,121.0,0.0,0.0,0.0
1.0,22.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,3595.894,cps,1,1,1,484.0,10648.0,81.0,0.0,0.0,0.0
1.0,30.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,24909.45,cps,1,1,1,900.0,27000.0,144.0,0.0,0.0,0.0
1.0,27.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,7506.146,cps,1,1,1,729.0,19683.0,121.0,0.0,0.0,0.0
1.0,33.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,289.7899,cps,1,1,1,1089.0,35937.0,64.0,0.0,0.0,0.0
1.0,22.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,4056.494,cps,1,1,1,484.0,10648.0,81.0,0.0,0.0,0.0
1.0,23.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,cps,1,1,0,529.0,12167.0,144.0,0.0,0.0,0.0
1.0,32.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,8472.158,cps,1,1,1,1024.0,32768.0,121.0,0.0,0.0,0.0
1.0,22.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,2164.022,cps,1,1,1,484.0,10648.0,256.0,0.0,0.0,0.0
1.0,33.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,12418.07,cps,1,1,1,1089.0,35937.0,144.0,0.0,0.0,0.0
1.0,19.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,8173.908,cps,1,1,1,361.0,6859.0,81.0,0.0,0.0,0.0
1.0,21.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,17094.64,cps,1,1,1,441.0,9261.0,169.0,0.0,0.0,0.0
1.0,18.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,cps,1,1,0,324.0,5832.0,64.0,0.0,0.0,0.0
1.0,27.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,18739.93,cps,1,1,1,729.0,19683.0,100.0,0.0,0.0,0.0
1.0,17.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,3023.879,cps,1,1,1,289.0,4913.0,49.0,0.0,0.0,0.0
1.0,19.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,3228.503,cps,1,1,1,361.0,6859.0,100.0,0.0,0.0,0.0
1.0,27.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,14581.86,cps,1,1,1,729.0,19683.0,169.0,0.0,0.0,0.0
1.0,23.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,7693.4,cps,1,1,1,529.0,12167.0,100.0,0.0,0.0,0.0
1.0,40.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,10804.32,cps,1,1,1,1600.0,64000.0,144.0,0.0,0.0,0.0
1.0,26.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,10747.35,cps,1,1,1,676.0,17576.0,144.0,0.0,0.0,0.0
1.0,23.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,cps,1,1,0,529.0,12167.0,121.0,0.0,0.0,0.0
1.0,41.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5149.501,cps,1,1,1,1681.0,68921.0,196.0,0.0,0.0,0.0
1.0,38.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,6408.95,cps,1,1,1,1444.0,54872.0,81.0,0.0,0.0,0.0
1.0,24.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1991.4,cps,1,1,1,576.0,13824.0,121.0,0.0,0.0,0.0
1.0,18.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,11163.17,cps,1,1,1,324.0,5832.0,100.0,0.0,0.0,0.0
1.0,29.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,9642.999,cps,1,1,1,841.0,24389.0,121.0,0.0,0.0,0.0
1.0,25.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,9897.049,cps,1,1,1,625.0,15625.0,121.0,0.0,0.0,0.0
1.0,27.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,11142.87,cps,1,1,1,729.0,19683.0,100.0,0.0,0.0,0.0
1.0,17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,16218.04,cps,1,1,1,289.0,4913.0,100.0,0.0,0.0,0.0
1.0,24.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,995.7002,cps,1,1,1,576.0,13824.0,121.0,0.0,0.0,0.0
1.0,17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,cps,1,1,0,289.0,4913.0,100.0,0.0,0.0,0.0
1.0,48.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,6551.592,cps,1,1,1,2304.0,110592.0,16.0,0.0,0.0,0.0
1.0,25.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1574.424,cps,1,1,1,625.0,15625.0,121.0,0.0,0.0,0.0
1.0,20.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,cps,1,1,0,400.0,8000.0,144.0,0.0,0.0,0.0
1.0,25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,3191.753,cps,1,1,1,625.0,15625.0,144.0,0.0,0.0,0.0
1.0,42.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,20505.93,cps,1,1,1,1764.0,74088.0,196.0,0.0,0.0,0.0
1.0,25.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,6181.88,cps,1,1,1,625.0,15625.0,25.0,0.0,0.0,0.0
1.0,23.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,5911.551,cps,1,1,1,529.0,12167.0,144.0,0.0,0.0,0.0
1.0,46.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,3094.156,cps,1,1,1,2116.0,97336.0,64.0,0.0,0.0,0.0
