pair_id,treated,control,ps_t,ps_c,dist
0,173,331,0.6166869008724223,0.6313698644967504,0.06258875368562228
1,97,346,0.49928631818296826,0.5037238813190085,0.017750529906171403
2,70,2023,0.8625731027943567,0.8770060494045328,0.12755093503881132
3,116,2011,0.7015166993268344,0.6887485066547597,0.06025577070040833
4,142,2025,0.7343063370598759,0.7218560134866804,0.06289551744561661
5,166,1925,0.21568716326676196,0.2155179070548479,0.0010008168072825896
6,149,2009,0.7608257586311878,0.766746015870673,0.0328156480714239
7,147,2048,0.7268331211230994,0.749661667504687,0.11819464155689763
8,0,1926,0.37735704882238646,0.38024999311585583,0.012294155077371971
9,105,487,0.6394328713723827,0.6356205490251222,0.01649750398210892
10,72,2001,0.9189643436040336,0.9150801653165354,0.05105407854171018
11,75,2036,0.4685760877165462,0.47328253451499797,0.018889783960490902
12,93,2014,0.8397064975322769,0.8247075770425976,0.10747259413458266
13,174,249,0.06602314532605921,0.06634413051402774,0.005193661881545353
14,103,1946,0.9326045203388786,0.9031239028370416,0.3949763397785029
15,5,1945,0.9030693979028439,0.9031239028370416,0.000622820371331656
16,144,454,0.11745763484277824,0.11865951091828869,0.011543187074292582
17,157,2004,0.5195717026143439,0.5125719201416069,0.028028549008819813
18,84,1982,0.8577856405279909,0.8846286249782932,0.2399929119394386
19,183,544,0.001279646219067794,0.00128079596001809,0.0008992312705906613
20,179,209,0.312735543744111,0.31432156541212014,0.007369028486237994
21,102,1943,0.8883935916034914,0.8883935916034914,0.0
22,135,1999,0.7458997029451448,0.7507018791070598,0.02549706940955465
23,148,2003,0.41293453408981606,0.4085143075553512,0.01826328366133373
24,10,1939,0.9219247088148416,0.8959309621977212,0.3159810718228022
25,39,2012,0.8922201927816946,0.8864283268167548,0.0588564779467986
26,13,353,0.5620195131359396,0.5765170390139326,0.059129404425936866
27,146,281,0.8499839343917154,0.8212920253205155,0.2093493625441163
28,54,1995,0.5130434029256392,0.5114051967113115,0.0065567499293615605
29,141,222,0.2963893476348606,0.29742077234473463,0.00494090257198998
30,126,2020,0.6726945997004139,0.679035422855167,0.0289447735941728
31,156,195,0.8440301947145821,0.8172842611922747,0.19047047508025017
32,114,198,0.2822680137117768,0.2852536146973911,0.014690085182617163
33,71,2204,0.4306923957135295,0.4368204049470359,0.024950321015273058
34,106,326,0.7723948114472731,0.791420319666581,0.11162474181852566
35,17,2010,0.8995846343128813,0.793044872793888,0.849240085951315
36,154,405,0.14494398827018887,0.14479430041748106,0.00120830930314475
37,139,2062,0.31286439925846216,0.3171041918881225,0.019649889597685655
38,53,192,0.7925006018568019,0.7925006018568019,0.0
40,175,364,0.4577744801289434,0.4597807817496481,0.008080139418314786
41,41,2013,0.5667226518482358,0.5795296872163376,0.05235102935344049
42,68,2055,0.2023618151834834,0.20247692609934156,0.0007130005268274342
44,163,2000,0.6384958547080787,0.6521119917993532,0.05949402651182656
46,119,2019,0.6826543320158279,0.6800199444214305,0.01213355368888025
51,99,430,0.790679596358275,0.6010308069318411,0.9192647252423838
52,168,1940,0.27354206925753005,0.275000854949368,0.00732887737421184
57,143,2201,0.32570449942412827,0.31905118625835777,0.030457675375961224
60,35,359,0.5191814216466017,0.5083809989162539,0.04323622324076288
61,82,1920,0.1315672982666421,0.13177231027352515,0.0017931155625403594
62,94,2074,0.6395764554132962,0.5433489306238837,0.39969417974567834
67,178,1951,0.0273501048408736,0.027384083445090277,0.0012765209433833746
69,167,205,0.2513694421755177,0.25804315634662406,0.03515764075743366
70,109,2069,0.526718125802802,0.5070748499198842,0.07867311171619747
