treat,age,educ,black,hisp,married,nodegree,re74,re75,re78,prop_score
1,37.0,11.0,1,0,1,1,0.0,0.0,9930.046,0.24751021552106942
1,22.0,9.0,0,1,0,1,0.0,0.0,3595.894,0.07257675135821577
1,30.0,12.0,1,0,0,0,0.0,0.0,24909.45,0.25039485825070074
1,27.0,11.0,1,0,0,1,0.0,0.0,7506.146,0.478955290159308
1,33.0,8.0,1,0,0,1,0.0,0.0,289.7899,0.44752730107180566
1,22.0,9.0,1,0,0,1,0.0,0.0,4056.494,0.4664223154607405
1,23.0,12.0,1,0,0,0,0.0,0.0,0.0,0.25539217891812666
1,32.0,11.0,1,0,0,1,0.0,0.0,8472.158,0.47424243209774053
1,22.0,16.0,1,0,0,0,0.0,0.0,2164.022,0.28334615008686115
1,33.0,12.0,0,0,1,0,0.0,0.0,12418.07,0.0018244854555537213
1,19.0,9.0,1,0,0,1,0.0,0.0,8173.908,0.4692445224350056
1,21.0,13.0,1,0,0,0,0.0,0.0,17094.64,0.26348922571957717
1,18.0,8.0,1,0,0,1,0.0,0.0,0.0,0.46157898997154634
1,27.0,10.0,1,0,1,1,0.0,0.0,18739.93,0.24810615990543936
1,17.0,7.0,1,0,0,1,0.0,0.0,3023.879,0.45393158289467445
1,19.0,10.0,1,0,0,1,0.0,0.0,3228.503,0.4778673119138592
1,27.0,13.0,1,0,0,0,0.0,0.0,14581.86,0.25911317686007995
1,23.0,10.0,1,0,0,1,0.0,0.0,7693.4,0.47409745714067053
1,40.0,12.0,1,0,0,0,0.0,0.0,10804.32,0.2433696396533339
1,26.0,12.0,1,0,0,0,0.0,0.0,10747.35,0.2532424722997787
1,23.0,11.0,1,0,0,1,0.0,0.0,0.0,0.482728316097749
1,41.0,14.0,0,0,0,0,0.0,0.0,5149.501,0.005088041564475553
1,38.0,9.0,0,0,0,1,0.0,0.0,6408.95,0.012106439368839962
1,24.0,11.0,1,0,0,1,0.0,0.0,1991.4,0.481784858113898
1,18.0,10.0,1,0,0,1,0.0,0.0,11163.17,0.47881018655431484
1,29.0,11.0,1,0,1,1,0.0,0.0,9642.999,0.25318315025810123
1,25.0,11.0,1,0,0,1,0.0,0.0,9897.049,0.4808415299928146
1,27.0,10.0,0,1,0,1,0.0,0.0,11142.87,0.0736403404225389
1,17.0,10.0,1,0,0,1,0.0,0.0,16218.04,0.47975321219419226
1,24.0,11.0,1,0,0,1,0.0,0.0,995.7002,0.481784858113898
1,17.0,10.0,1,0,0,1,0.0,0.0,0.0,0.47975321219419226
1,48.0,4.0,1,0,0,1,0.0,0.0,6551.592,0.3999435198960708
1,25.0,11.0,1,0,1,1,0.0,0.0,1574.424,0.2560516426321263
1,20.0,12.0,1,0,0,0,0.0,0.0,0.0,0.25755384005130855
1,25.0,12.0,1,0,0,0,0.0,0.0,3191.753,0.25395771050232674
1,42.0,14.0,1,0,0,0,0.0,0.0,20505.93,0.25489507961829866
1,25.0,5.0,1,0,0,1,0.0,0.0,6181.88,0.4294233955889717
1,23.0,12.0,1,0,1,0,0.0,0.0,5911.551,0.1130479963906367
1,46.0,8.0,1,0,1,1,0.0,0.0,3094.156,0.22275047936493564
1,24.0,10.0,1,0,0,1,0.0,0.0,0.0,0.47315543780186514
1,21.0,12.0,1,0,0,0,0.0,0.0,1254.582,0.25683196049215223
1,19.0,9.0,0,0,0,1,0.0,0.0,13188.83,0.012995849196087601
1,17.0,8.0,1,0,0,1,0.0,0.0,8061.485,0.4625181952213816
1,18.0,8.0,0,1,1,1,0.0,0.0,2787.96,0.02772886297563435
1,20.0,11.0,1,0,0,1,0.0,0.0,3972.54,0.4855594021109151
1,25.0,11.0,1,0,1,1,0.0,0.0,0.0,0.2560516426321263
1,17.0,8.0,1,0,0,1,0.0,0.0,0.0,0.4625181952213816
1,17.0,9.0,1,0,0,1,0.0,0.0,0.0,0.4711270984469974
1,25.0,5.0,1,0,0,1,0.0,0.0,12187.41,0.4294233955889717
1,23.0,12.0,1,0,0,0,0.0,0.0,4843.176,0.25539217891812666
1,28.0,8.0,1,0,0,1,0.0,0.0,0.0,0.4522030171343563
1,31.0,11.0,1,0,1,1,0.0,0.0,8087.487,0.25175689429216874
1,18.0,11.0,1,0,0,1,0.0,0.0,0.0,0.4874473189979508
1,25.0,12.0,1,0,0,0,0.0,0.0,2348.973,0.25395771050232674
1,30.0,11.0,1,0,1,1,0.0,0.0,590.7818,0.2524693552750677
1,17.0,10.0,1,0,0,1,0.0,0.0,0.0,0.47975321219419226
1,37.0,9.0,1,0,0,1,0.0,0.0,1067.506,0.4523470556750287
1,41.0,4.0,1,0,1,1,0.0,0.0,7284.986,0.20275375922539132
1,42.0,14.0,1,0,1,0,0.0,0.0,13167.52,0.11278599150685942
1,22.0,11.0,0,0,0,1,0.0,0.0,1048.432,0.013759069691718065
1,17.0,8.0,1,0,0,1,0.0,0.0,0.0,0.4625181952213816
1,29.0,8.0,1,0,0,1,0.0,0.0,1923.938,0.4512671717789875
1,35.0,10.0,1,0,0,1,0.0,0.0,4666.236,0.46280729983979046
1,27.0,11.0,1,0,0,1,0.0,0.0,549.2984,0.478955290159308
1,29.0,4.0,1,0,0,1,0.0,0.0,762.9146,0.4172902438428357
1,28.0,9.0,1,0,0,1,0.0,0.0,10694.29,0.46078452279657206
1,27.0,11.0,1,0,0,1,0.0,0.0,0.0,0.478955290159308
1,23.0,7.0,0,0,0,1,0.0,0.0,0.0,0.011957864710998191
1,45.0,5.0,1,0,1,1,0.0,0.0,8546.715,0.205919921584665
1,29.0,13.0,1,0,0,0,0.0,0.0,7479.656,0.2576650408158244
1,27.0,9.0,1,0,0,1,0.0,0.0,0.0,0.46172349776985583
1,46.0,13.0,1,0,0,0,0.0,0.0,647.2046,0.24557079367882728
1,18.0,6.0,1,0,0,1,0.0,0.0,0.0,0.44443911087203936
1,25.0,12.0,1,0,0,0,0.0,0.0,11965.81,0.25395771050232674
1,28.0,15.0,1,0,0,0,0.0,0.0,9598.541,0.27186438117178297
1,25.0,11.0,0,0,0,1,0.0,0.0,18783.35,0.013606090823604804
1,22.0,12.0,1,0,0,0,0.0,0.0,18678.08,0.25611140628671053
1,21.0,9.0,1,0,0,1,0.0,0.0,0.0,0.4673628213301014
1,40.0,11.0,1,0,0,1,0.0,0.0,23005.6,0.4667117413972641
1,22.0,11.0,1,0,0,1,0.0,0.0,6456.697,0.4836718972346045
1,25.0,12.0,1,0,0,0,0.0,0.0,0.0,0.25395771050232674
1,18.0,12.0,1,0,0,0,0.0,0.0,2321.107,0.2590015691760453
1,38.0,12.0,0,0,0,0,0.0,0.0,4941.849,0.004803463460640465
1,27.0,13.0,1,0,0,0,0.0,0.0,0.0,0.25911317686007995
1,27.0,8.0,1,0,0,1,0.0,0.0,0.0,0.4531392005875975
