treat,age,educ,black,hisp,married,nodegree,re74,re75,re78,prop_score
1,37.0,11.0,1,0,1,1,0.0,0.0,9930.046,0.37735704882238646
1,22.0,9.0,0,1,0,1,0.0,0.0,3595.894,0.8849316515491321
1,30.0,12.0,1,0,0,0,0.0,0.0,24909.45,0.7201263610570414
1,27.0,11.0,1,0,0,1,0.0,0.0,7506.146,0.8717415777195172
1,33.0,8.0,1,0,0,1,0.0,0.0,289.7899,0.7896882230325255
1,22.0,9.0,1,0,0,1,0.0,0.0,4056.494,0.9030693979028439
1,23.0,12.0,1,0,0,0,0.0,0.0,0.0,0.8172842611922747
1,32.0,11.0,1,0,0,1,0.0,0.0,8472.158,0.8207547746796513
1,22.0,16.0,1,0,0,0,0.0,0.0,2164.022,0.8502148064851055
1,33.0,12.0,0,0,1,0,0.0,0.0,12418.07,0.04231124777462379
1,19.0,9.0,1,0,0,1,0.0,0.0,8173.908,0.9219247088148416
1,21.0,13.0,1,0,0,0,0.0,0.0,17094.64,0.844992590807702
1,18.0,8.0,1,0,0,1,0.0,0.0,0.0,0.9246990895696704
1,27.0,10.0,1,0,1,1,0.0,0.0,18739.93,0.5620195131359396
1,17.0,7.0,1,0,0,1,0.0,0.0,3023.879,0.9273826489760875
1,19.0,10.0,1,0,0,1,0.0,0.0,3228.503,0.9247424455081762
1,27.0,13.0,1,0,0,0,0.0,0.0,14581.86,0.7723948114472731
1,23.0,10.0,1,0,0,1,0.0,0.0,7693.4,0.8995846343128813
1,40.0,12.0,1,0,0,0,0.0,0.0,10804.32,0.5387063535968637
1,26.0,12.0,1,0,0,0,0.0,0.0,10747.35,0.7792101712993817
1,23.0,11.0,1,0,0,1,0.0,0.0,0.0,0.9031239028370416
1,41.0,14.0,0,0,0,0,0.0,0.0,5149.501,0.11460531700275946
1,38.0,9.0,0,0,0,1,0.0,0.0,6408.95,0.22575848067212756
1,24.0,11.0,1,0,0,1,0.0,0.0,1991.4,0.8959890188244847
1,18.0,10.0,1,0,0,1,0.0,0.0,11163.17,0.9300588857349297
1,29.0,11.0,1,0,1,1,0.0,0.0,9642.999,0.5327482313544835
1,25.0,11.0,1,0,0,1,0.0,0.0,9897.049,0.8883935916034914
1,27.0,10.0,0,1,0,1,0.0,0.0,11142.87,0.8435413058463117
1,17.0,10.0,1,0,0,1,0.0,0.0,16218.04,0.9350261433962531
1,24.0,11.0,1,0,0,1,0.0,0.0,995.7002,0.8959890188244847
1,17.0,10.0,1,0,0,1,0.0,0.0,0.0,0.9350261433962531
1,48.0,4.0,1,0,0,1,0.0,0.0,6551.592,0.49472068001341934
1,25.0,11.0,1,0,1,1,0.0,0.0,1574.424,0.6099642129100727
1,20.0,12.0,1,0,0,0,0.0,0.0,0.0,0.8500561054365728
1,25.0,12.0,1,0,0,0,0.0,0.0,3191.753,0.7925006018568019
1,42.0,14.0,1,0,0,0,0.0,0.0,20505.93,0.5191814216466017
1,25.0,5.0,1,0,0,1,0.0,0.0,6181.88,0.8624253769133575
1,23.0,12.0,1,0,1,0,0.0,0.0,5911.551,0.46774006267714363
1,46.0,8.0,1,0,1,1,0.0,0.0,3094.156,0.20896656581090836
1,24.0,10.0,1,0,0,1,0.0,0.0,0.0,0.8922201927816946
1,21.0,12.0,1,0,0,0,0.0,0.0,1254.582,0.8397064975322769
1,19.0,9.0,0,0,0,1,0.0,0.0,13188.83,0.5667226518482358
1,17.0,8.0,1,0,0,1,0.0,0.0,8061.485,0.930018360818352
1,18.0,8.0,0,1,1,1,0.0,0.0,2787.96,0.6657180730655422
1,20.0,11.0,1,0,0,1,0.0,0.0,3972.54,0.9219695273597156
1,25.0,11.0,1,0,1,1,0.0,0.0,0.0,0.6099642129100727
1,17.0,8.0,1,0,0,1,0.0,0.0,0.0,0.930018360818352
1,17.0,9.0,1,0,0,1,0.0,0.0,0.0,0.932565363456217
1,25.0,5.0,1,0,0,1,0.0,0.0,12187.41,0.8624253769133575
1,23.0,12.0,1,0,0,0,0.0,0.0,4843.176,0.8172842611922747
