pool,spec,method,est,ci_lo,ci_hi,n,max_abs_smd,covers_truth
NSW (RCT),-,experimental benchmark,1794.342404270271,474.0104698180371,3114.6743387225047,445,,True
CPS,-,naive difference,-8497.516142636992,,,16177,,False
CPS,demographics,"match caliper=0.01 raw, no replace",-3257.3233624000004,-4904.39739928464,-1610.24932551536,175,2.122168395991042,False
CPS,demographics,"match caliper=0.2 logit-SD, no replace",-3413.8763430270265,-5042.8993362233105,-1784.8533498307427,185,2.1184189429402887,False
CPS,demographics,"match caliper=0.2 logit-SD, with replace",-3424.220329027027,-5042.39760575305,-1806.0430523010043,185,2.085342790593451,False
CPS,demographics,IPW ATT (trim .01-.99),-2643.347480922365,-4039.969265328743,-1246.7256965159868,1611,,False
CPS,demographics,IPW ATE stabilized (trim .05-.95),-3074.0824732498577,-4701.045352373048,-1447.119594126667,747,,False
CPS,demographics,AIPW / doubly robust ATT,-2748.1018352549545,-4112.568503839661,-1328.7481899968914,1611,,False
CPS,with_earnings,"match caliper=0.01 raw, no replace",1503.6655921468928,89.38806978625507,2917.9431145075305,177,0.30479176598963825,True
CPS,with_earnings,"match caliper=0.2 logit-SD, no replace",1530.4689184324325,161.36802498838188,2899.569811876483,185,0.30672098988303265,True
CPS,with_earnings,"match caliper=0.2 logit-SD, with replace",1653.5755722702704,275.879594507099,3031.2715500334416,185,0.41324231888181995,True
CPS,with_earnings,IPW ATT (trim .01-.99),1091.1659587588374,-206.77465828485947,2389.1065758025343,1667,,True
CPS,with_earnings,IPW ATE stabilized (trim .05-.95),1150.3284780543952,-416.38109620573846,2717.0380523145286,689,,True
CPS,with_earnings,AIPW / doubly robust ATT,1342.1478997769514,164.25150482597934,2626.9072463966854,1667,,True
PSID,-,naive difference,-15204.777468026914,,,2675,,False
PSID,demographics,"match caliper=0.01 raw, no replace",-6447.519823412697,-8316.694804004104,-4578.3448428212905,126,3.168449421438923,False
PSID,demographics,"match caliper=0.2 logit-SD, no replace",-5467.147585874125,-7487.100308964337,-3447.194862783913,143,2.9699233732939128,False
PSID,demographics,"match caliper=0.2 logit-SD, with replace",-3896.0386550270273,-5542.749532869653,-2249.3277771844014,185,2.4609590824526104,False
PSID,demographics,IPW ATT (trim .01-.99),-4151.956547863446,-5924.322952169319,-2379.5901435575724,1116,,False
PSID,demographics,IPW ATE stabilized (trim .05-.95),-5251.81853865454,-6923.96402550862,-3579.67305180046,561,,False
PSID,demographics,AIPW / doubly robust ATT,-4352.775923267778,-5798.99610322996,-2649.4666884895228,1116,,False
PSID,with_earnings,"match caliper=0.01 raw, no replace",320.7889395,-2178.7644570155185,2820.342336015519,80,0.10968121489205832,True
PSID,with_earnings,"match caliper=0.2 logit-SD, no replace",214.09888372340407,-1792.2309135437795,2220.4286809905875,94,0.14001857220262778,True
PSID,with_earnings,"match caliper=0.2 logit-SD, with replace",2169.493742810811,860.0604279147033,3478.9270577069187,185,0.3316515136912591,True
PSID,with_earnings,IPW ATT (trim .01-.99),1610.2695519617503,-171.21584041573487,3391.7549443392354,718,,True
PSID,with_earnings,IPW ATE stabilized (trim .05-.95),29.72489203358373,-1582.185614321517,1641.6353983886845,418,,False
PSID,with_earnings,AIPW / doubly robust ATT,2282.0933770960887,320.5902225906416,4027.6435793282058,718,,True
